time_index,telemetry,point_score,smoothed_score,prediction,label,context_ood,valid_score
1328,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1329,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1330,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1331,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1332,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1333,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1334,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1335,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1336,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1337,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1338,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1339,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1340,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1341,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1342,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1343,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1344,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1345,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1346,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1347,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1348,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1349,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1350,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1351,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1352,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1353,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1354,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1355,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1356,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1357,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1358,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1359,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1360,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1361,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1362,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1363,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1364,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1365,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1366,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1367,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1368,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1369,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1370,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1371,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1372,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1373,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1374,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1375,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1376,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1377,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1378,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1379,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1380,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1381,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1382,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1383,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1384,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1385,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1386,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1387,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1388,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1389,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1390,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1391,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1392,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1393,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1394,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1395,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1396,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1397,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1398,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1399,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1400,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1401,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1402,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1403,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1404,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1405,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1406,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1407,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1408,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1409,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1410,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1411,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1412,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1413,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1414,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1415,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1416,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1417,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1418,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1419,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1420,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1421,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1422,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1423,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1424,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1425,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1426,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1427,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1428,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1429,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1430,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1431,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1432,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1433,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1434,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1435,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1436,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1437,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1438,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1439,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1440,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1441,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1442,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1443,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1444,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1445,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1446,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1447,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1448,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1449,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1450,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1451,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1452,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1453,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1454,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1455,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1456,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1457,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1458,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1459,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1460,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1461,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1462,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1463,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1464,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1465,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1466,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1467,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1468,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1469,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1470,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1471,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1472,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1473,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1474,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1475,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1476,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1477,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1478,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1479,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1480,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1481,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1482,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1483,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1484,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1485,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1486,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1487,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1488,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1489,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1490,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1491,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1492,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1493,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1494,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1495,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1496,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1497,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1498,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1499,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1500,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1501,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1502,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1503,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1504,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1505,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1506,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1507,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1508,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1509,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1510,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1511,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1512,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1513,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1514,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1515,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1516,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1517,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1518,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1519,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1520,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1521,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1522,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1523,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1524,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1525,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1526,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1527,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1528,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1529,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1530,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1531,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1532,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1533,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1534,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1535,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1536,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1537,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1538,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1539,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1540,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1541,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1542,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1543,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1544,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1545,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1546,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1547,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1548,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1549,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1550,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1551,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1552,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1553,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1554,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1555,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1556,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1557,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1558,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1559,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1560,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1561,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1562,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1563,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1564,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1565,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1566,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1567,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1568,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1569,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1570,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1571,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1572,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1573,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1574,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1575,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1576,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1577,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1578,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1579,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1580,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1581,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1582,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1583,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1584,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1585,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1586,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1587,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1588,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1589,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1590,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1591,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1592,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1593,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1594,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1595,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1596,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1597,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1598,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1599,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1600,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1601,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1602,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1603,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1604,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1605,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1606,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1607,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1608,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1609,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1610,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1611,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1612,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1613,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1614,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1615,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1616,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1617,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1618,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1619,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1620,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1621,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1622,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1623,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1624,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1625,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1626,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1627,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1628,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1629,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1630,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1631,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1632,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1633,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1634,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1635,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1636,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1637,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1638,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1639,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1640,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1641,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1642,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1643,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1644,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1645,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1646,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1647,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1648,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1649,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1650,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1651,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1652,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1653,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1654,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1655,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1656,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1657,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1658,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1659,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1660,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1661,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1662,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1663,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1664,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1665,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1666,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1667,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1668,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1669,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1670,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1671,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1672,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1673,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1674,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1675,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1676,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1677,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1678,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1679,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1680,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1681,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1682,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1683,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1684,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1685,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1686,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1687,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1688,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1689,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1690,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1691,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1692,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1693,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1694,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1695,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1696,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1697,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1698,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1699,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1700,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1701,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1702,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1703,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1704,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1705,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1706,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1707,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1708,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1709,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1710,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1711,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1712,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1713,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
1714,-0.07562189,7.162977,7.162977,0.0,0.0,1.0,1.0
